action,session,entity,date,entity_date
133-010720-2,2,133,010720,133-010720
133-010720-3,3,133,010720,133-010720
133-020720-1,1,133,020720,133-020720
133-020720-2,2,133,020720,133-020720
133-020720-3,3,133,020720,133-020720
133-030720-1,1,133,030720,133-030720
133-030720-3,3,133,030720,133-030720
133-050720-1,1,133,050720,133-050720
133-050720-2,2,133,050720,133-050720
133-060720-1,1,133,060720,133-060720
133-060720-2,2,133,060720,133-060720
133-070720-1,1,133,070720,133-070720
133-070720-2,2,133,070720,133-070720
133-070720-3,3,133,070720,133-070720
133-070720-4,4,133,070720,133-070720
133-070720-5,5,133,070720,133-070720
133-070720-6,6,133,070720,133-070720
133-070720-7,7,133,070720,133-070720
133-080720-1,1,133,080720,133-080720
133-080720-2,2,133,080720,133-080720
133-080720-3,3,133,080720,133-080720
133-080720-4,4,133,080720,133-080720
133-080720-5,5,133,080720,133-080720
133-080720-6,6,133,080720,133-080720
133-080720-8,8,133,080720,133-080720
133-090720-1,1,133,090720,133-090720
133-090720-2,2,133,090720,133-090720
133-090720-3,3,133,090720,133-090720
133-090720-4,4,133,090720,133-090720
133-090720-5,5,133,090720,133-090720
133-090720-6,6,133,090720,133-090720
133-090720-7,7,133,090720,133-090720
133-100720-3,3,133,100720,133-100720
133-100720-4,4,133,100720,133-100720
133-100720-5,5,133,100720,133-100720
133-100720-6,6,133,100720,133-100720
133-100720-7,7,133,100720,133-100720
133-100720-8,8,133,100720,133-100720
133-100720-9,9,133,100720,133-100720
133-260520-1,1,133,260520,133-260520
133-270520-1,1,133,270520,133-270520
134-010720-1,1,134,010720,134-010720
134-010720-2,2,134,010720,134-010720
134-020720-1,1,134,020720,134-020720
134-020720-2,2,134,020720,134-020720
134-020720-3,3,134,020720,134-020720
134-030720-2,2,134,030720,134-030720
134-030720-4,4,134,030720,134-030720
134-050720-3,3,134,050720,134-050720
134-050720-4,4,134,050720,134-050720
134-060720-1,1,134,060720,134-060720
134-060720-2,2,134,060720,134-060720
134-080720-1,1,134,080720,134-080720
134-080720-2,2,134,080720,134-080720
134-080720-3,3,134,080720,134-080720
134-080720-4,4,134,080720,134-080720
134-080720-5,5,134,080720,134-080720
134-080720-6,6,134,080720,134-080720
134-080720-8,8,134,080720,134-080720
134-090720-1,1,134,090720,134-090720
134-090720-2,2,134,090720,134-090720
134-090720-3,3,134,090720,134-090720
134-260520-2,2,134,260520,134-260520
134-270520-2,2,134,270520,134-270520
136-010720-1,1,136,010720,136-010720
136-010720-2,2,136,010720,136-010720
136-020720-1,1,136,020720,136-020720
136-020720-2,2,136,020720,136-020720
136-040720-1,1,136,040720,136-040720
136-040720-2,2,136,040720,136-040720
136-040720-3,3,136,040720,136-040720
136-050720-1,1,136,050720,136-050720
136-050720-2,2,136,050720,136-050720
136-060720-1,1,136,060720,136-060720
136-070720-1,1,136,070720,136-070720
136-070720-2,2,136,070720,136-070720
136-080720-1,1,136,080720,136-080720
136-080720-2,2,136,080720,136-080720
136-080720-3,3,136,080720,136-080720
136-300620-2,2,136,300620,136-300620
